STT,Device,Date,From,To,From,To,,,
1,L01,13/02/2023,02:00,08:00,16:00,18:00,,,
,,14/02/2023,04:00,08:00,16:00,18:00,,,
,,15/02/2023,00:01,06:00,16:00,18:00,,,
,,16/02/2023,00:01,06:00,16:00,18:00,,,
,,17/02/2023,00:01,06:00,16:00,18:00,,,
,,18/02/2023,00:01,06:00,16:00,18:00,,,
2,L03,13/02/2023,06:00,14:00,00:00,00:00,,,
,,14/02/2023,06:00,14:00,00:00,00:00,,,
,,15/02/2023,06:00,14:00,00:00,00:00,,,
,,16/02/2023,06:00,14:00,00:00,00:00,,,
,,17/02/2023,06:00,14:00,00:00,00:00,,,
,,18/02/2023,06:00,14:00,00:00,00:00,,,
3,L04,13/02/2023,08:00,22:00,00:00,00:00,,,
,,14/02/2023,08:00,22:00,00:00,00:00,,,
,,15/02/2023,08:00,22:00,00:00,00:00,,,
,,16/02/2023,08:00,22:00,00:00,00:00,,,
,,17/02/2023,08:00,22:00,00:00,00:00,,,
,,18/02/2023,08:00,22:00,00:00,00:00,,,
4,M02,13/02/2023,14:00,22:00,00:00,00:00,,,
,,14/02/2023,14:00,22:00,00:00,00:00,,,
,,15/02/2023,14:00,22:00,00:00,00:00,,,
,,16/02/2023,14:00,22:00,00:00,00:00,,,
,,17/02/2023,14:00,22:00,00:00,00:00,,,
,,18/02/2023,14:00,22:00,00:00,00:00,,,
5,K001,13/02/2023,16:00,20:00,22:00,23:59,,,
,,14/02/2023,16:00,20:00,22:00,23:59,,,
,,15/02/2023,08:00,12:00,16:00,23:59,,,
,,16/02/2023,16:00,20:00,22:00,23:59,,,
,,17/02/2023,16:00,20:00,22:00,23:59,,,
,,18/02/2023,08:00,14:00,16:00,20:00,,,
6,K002,13/02/2023,00:01,23:59,00:00,00:00,,,
,,14/02/2023,00:01,23:59,00:00,00:00,,,
,,15/02/2023,00:01,23:59,00:00,00:00,,,
,,16/02/2023,00:01,23:59,00:00,00:00,,,
,,17/02/2023,00:01,23:59,00:00,00:00,,,
,,18/02/2023,00:01,23:59,00:00,00:00,,,
7,K003,13/02/2023,00:01,23:59,00:00,00:00,,,
,,14/02/2023,00:01,23:59,00:00,00:00,,,
,,15/02/2023,00:01,23:59,00:00,00:00,,,
,,16/02/2023,00:01,23:59,00:00,00:00,,,
,,17/02/2023,00:01,23:59,00:00,00:00,,,
,,18/02/2023,00:01,23:59,00:00,00:00,,,
