STT,?u tiên,Thi?t b?,Công vi?c,Ngày h?t h?n,Th?i gian,Ngày s?n sàng v?t t?
1,4,L01,Thay vòng nhi?t,20/02/2023,70,15/02/2023
2,4,L04,Thay ty lói,19/02/2023,30,17/02/2023
3,4,L03,Thay ty lói,22/02/2023,40,14/02/2023
4,3,L01,Thay mang,20/02/2023,60,16/02/2023
5,3,L01,Thay b?c ??n,19/02/2023,40,17/02/2023
6,2,M02,Thay vòng nhi?t,20/02/2023,70,18/02/2023
7,2,L04,V? sinh máy,21/02/2023,30,16/02/2023
8,1,K001,?ánh bóng,23/02/2023,30,19/02/2023
9,1,K002,?ánh bóng,20/02/2023,30,16/02/2023
10,1,K003,?ánh bóng,18/02/2023,30,15/02/2023
